"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group A","some college","standard","completed","52","59","60"
"male","group A","some college","free/reduced","none","46","48","42"
"male","group B","some college","standard","none","91","88","84"
"female","group B","high school","free/reduced","none","57","79","75"
"female","group B","high school","standard","none","48","52","50"
"female","group C","master's degree","standard","none","72","85","84"
"male","group B","associate's degree","standard","completed","71","68","60"
"female","group A","associate's degree","free/reduced","none","75","84","82"
"male","group E","some college","standard","completed","82","73","70"
"male","group D","some college","free/reduced","none","70","76","70"
"female","group B","some high school","free/reduced","none","56","62","58"
"female","group E","high school","standard","none","59","72","65"
"male","group B","high school","standard","none","69","65","65"
"male","group E","some high school","standard","completed","76","70","66"
"female","group D","associate's degree","free/reduced","completed","83","92","95"
"male","group C","high school","free/reduced","none","69","70","66"
"male","group B","some college","free/reduced","none","47","46","47"
"female","group C","some college","free/reduced","completed","47","75","68"
"female","group C","associate's degree","standard","completed","56","62","65"
"female","group D","high school","free/reduced","completed","63","75","76"
"male","group D","some high school","standard","none","52","46","41"
"male","group C","associate's degree","free/reduced","none","76","79","72"
"female","group C","bachelor's degree","standard","none","49","47","58"
"female","group B","high school","standard","none","59","64","70"
"male","group C","some high school","standard","none","68","65","58"
"male","group C","associate's degree","standard","none","65","58","64"
"female","group E","bachelor's degree","standard","none","95","100","99"
"male","group E","bachelor's degree","standard","completed","100","100","94"
"male","group B","bachelor's degree","free/reduced","completed","50","49","52"
"female","group B","some college","standard","none","79","71","76"
"male","group E","high school","standard","completed","72","71","70"
"female","group E","associate's degree","standard","none","94","89","96"
"female","group A","associate's degree","standard","none","77","78","78"
"female","group D","high school","free/reduced","none","55","64","60"
"female","group A","associate's degree","standard","completed","73","78","83"
"female","group C","some college","free/reduced","none","69","79","77"
"female","group B","some college","standard","none","69","82","80"
"female","group D","some college","standard","none","51","48","59"
"male","group C","some college","standard","completed","75","72","76"
"female","group C","some high school","standard","completed","83","91","90"
"female","group C","some college","standard","none","69","84","88"
"female","group D","high school","standard","none","72","80","81"
"male","group C","associate's degree","standard","none","62","60","46"
"female","group B","some high school","free/reduced","completed","49","71","67"
"male","group A","some college","free/reduced","none","79","70","63"
"female","group D","high school","free/reduced","none","50","64","62"
"female","group A","some college","standard","none","61","65","65"
"male","group B","some high school","free/reduced","completed","44","40","41"
"male","group C","some college","standard","none","87","80","80"
"female","group C","high school","standard","none","62","75","72"
"male","group E","high school","standard","none","80","71","59"
"male","group B","some college","standard","none","66","76","73"
"female","group A","associate's degree","free/reduced","completed","61","81","83"
"female","group C","associate's degree","standard","completed","73","70","71"
"male","group C","some college","free/reduced","none","55","49","49"
"male","group B","some high school","standard","none","94","83","79"
"male","group D","associate's degree","standard","none","65","68","67"
"male","group A","bachelor's degree","standard","none","63","50","49"
"male","group C","some college","standard","completed","69","70","69"
"female","group A","high school","free/reduced","none","46","61","54"
"male","group E","high school","standard","none","91","91","91"
"male","group D","master's degree","standard","completed","68","75","63"
"male","group C","some college","standard","none","62","68","61"
"male","group D","some college","standard","none","76","83","74"
"female","group B","associate's degree","standard","none","46","51","54"
"female","group D","master's degree","free/reduced","none","77","80","80"
"female","group B","some college","free/reduced","none","26","42","46"
"male","group C","bachelor's degree","standard","none","68","72","65"
"female","group E","high school","standard","none","81","93","83"
"male","group E","high school","free/reduced","completed","79","82","82"
"male","group D","bachelor's degree","standard","none","71","78","76"
"male","group D","some high school","standard","none","67","71","63"
"male","group B","associate's degree","free/reduced","completed","55","55","53"
"female","group D","high school","standard","none","71","78","77"
"female","group C","associate's degree","standard","none","74","95","83"
"female","group D","some college","standard","none","73","81","84"
"male","group D","some college","standard","completed","65","66","65"
"male","group C","associate's degree","free/reduced","completed","78","80","75"
"female","group B","some college","standard","none","67","75","75"
"female","group D","high school","free/reduced","none","61","66","62"
"male","group D","some college","standard","completed","78","82","84"
"female","group D","some high school","free/reduced","none","53","71","61"
"female","group E","master's degree","standard","none","100","100","100"
"female","group B","some college","free/reduced","none","69","77","73"
"female","group D","high school","standard","none","61","53","57"
"male","group B","high school","free/reduced","completed","44","54","53"
"male","group D","bachelor's degree","standard","none","57","51","50"
"female","group B","some college","standard","completed","64","78","81"
"male","group D","associate's degree","standard","completed","95","85","91"
"female","group E","some college","free/reduced","none","77","93","91"
"female","group C","high school","standard","none","61","79","78"
"female","group C","some high school","free/reduced","completed","59","74","77"
"female","group E","associate's degree","standard","none","73","72","74"
"female","group C","some college","standard","completed","65","74","80"
"male","group C","high school","standard","completed","72","70","72"
"female","group C","some college","free/reduced","none","71","87","79"
"male","group B","bachelor's degree","standard","none","87","79","76"
"female","group C","high school","free/reduced","none","50","76","70"
"female","group C","master's degree","standard","none","94","96","97"
"male","group B","high school","free/reduced","none","43","55","51"
"female","group B","high school","standard","none","48","59","58"
"female","group D","bachelor's degree","standard","completed","94","100","100"
"female","group D","associate's degree","free/reduced","none","29","45","39"
"female","group A","associate's degree","standard","completed","66","63","67"
"female","group C","some college","free/reduced","completed","44","54","52"
"female","group C","associate's degree","free/reduced","none","53","65","63"
"female","group E","high school","standard","none","68","76","73"
"male","group D","some college","standard","none","64","58","55"
"female","group C","bachelor's degree","standard","none","78","82","81"
"male","group C","bachelor's degree","free/reduced","none","37","32","34"
"male","group D","some high school","standard","none","37","39","40"
"female","group B","high school","standard","completed","75","96","95"
"female","group B","bachelor's degree","free/reduced","none","72","89","83"
"male","group B","bachelor's degree","standard","completed","77","75","76"
"female","group B","high school","standard","none","62","71","67"
"male","group A","some college","free/reduced","none","65","62","54"
"male","group C","some high school","free/reduced","completed","46","48","47"
"male","group E","some high school","standard","completed","85","87","82"
"female","group C","some college","standard","none","54","59","66"
"male","group C","master's degree","standard","none","94","100","91"
"female","group D","high school","standard","none","46","56","53"
"male","group D","associate's degree","standard","none","52","57","52"
"male","group C","associate's degree","standard","none","73","72","65"
"male","group B","bachelor's degree","standard","completed","86","83","85"
"male","group C","master's degree","standard","completed","92","94","91"
"male","group E","associate's degree","standard","none","100","95","84"
"female","group D","some college","standard","none","74","94","94"
"female","group B","associate's degree","free/reduced","completed","54","69","72"
"female","group D","high school","standard","none","48","46","49"
"male","group B","master's degree","free/reduced","completed","84","88","92"
"female","group B","some college","free/reduced","none","42","57","52"
"female","group E","associate's degree","free/reduced","none","71","80","84"
"female","group C","associate's degree","standard","completed","73","92","92"
"female","group C","bachelor's degree","free/reduced","none","51","65","69"
"male","group E","some high school","standard","none","97","86","81"
"female","group D","some college","standard","completed","76","84","90"
"male","group C","associate's degree","standard","none","74","72","72"
"female","group C","some high school","free/reduced","completed","41","62","56"
"female","group D","some high school","free/reduced","none","50","59","53"
"male","group E","associate's degree","free/reduced","none","77","73","67"
"male","group D","high school","standard","none","65","57","54"
"male","group D","associate's degree","standard","none","67","68","73"
"male","group C","some college","standard","none","72","74","70"
"male","group C","high school","free/reduced","completed","70","71","70"
"male","group C","bachelor's degree","standard","none","59","58","55"
"male","group C","high school","free/reduced","completed","49","53","52"
"female","group D","high school","standard","completed","64","76","81"
"female","group E","bachelor's degree","standard","completed","76","82","83"
"female","group B","associate's degree","free/reduced","none","59","76","76"
"female","group C","associate's degree","free/reduced","none","47","69","63"
"male","group E","associate's degree","standard","none","96","77","72"
"female","group D","some college","standard","none","53","61","62"
"female","group E","associate's degree","free/reduced","none","68","84","76"
"male","group C","master's degree","standard","completed","69","67","66"
"female","group C","bachelor's degree","standard","completed","74","85","84"
"male","group C","associate's degree","standard","none","87","75","77"
"male","group C","some college","standard","none","72","61","59"
"female","group C","high school","standard","none","75","90","80"
"female","group D","high school","standard","completed","62","66","71"
"female","group D","some high school","free/reduced","completed","45","67","67"
"male","group D","master's degree","standard","none","82","71","71"
"female","group C","associate's degree","standard","none","88","87","86"
"male","group C","associate's degree","standard","completed","84","81","81"
"male","group C","master's degree","standard","none","66","62","58"
"male","group B","high school","standard","completed","42","56","53"
"male","group E","some college","standard","completed","90","87","86"
"male","group C","associate's degree","standard","none","66","58","62"
"female","group C","associate's degree","standard","none","71","80","81"
"female","group D","associate's degree","free/reduced","completed","72","90","97"
"female","group B","associate's degree","standard","none","57","65","70"
"female","group D","some college","free/reduced","completed","61","80","75"
"female","group E","bachelor's degree","free/reduced","none","70","79","80"
"female","group C","associate's degree","free/reduced","completed","46","62","65"
"male","group C","some high school","standard","none","70","61","62"
"male","group D","high school","standard","none","70","53","58"
"female","group C","some college","free/reduced","none","44","63","58"
"male","group D","bachelor's degree","free/reduced","completed","67","70","66"
"male","group D","high school","standard","completed","79","70","76"
"male","group B","high school","free/reduced","none","62","64","59"
"male","group E","high school","standard","completed","99","94","94"
"male","group D","some college","free/reduced","completed","52","57","60"
"male","group A","bachelor's degree","standard","completed","77","69","66"
"female","group B","some college","standard","none","52","59","59"
"male","group D","some high school","standard","none","84","85","76"
"male","group D","some college","standard","none","66","59","60"
"female","group B","some college","standard","none","64","80","76"
"male","group D","associate's degree","standard","none","87","79","77"
"female","group A","high school","standard","none","58","64","71"
"male","group D","some high school","standard","none","86","82","73"
"female","group C","associate's degree","free/reduced","completed","61","85","79"
"male","group C","some college","free/reduced","completed","78","78","77"
"female","group A","high school","standard","none","56","60","61"
"male","group C","some college","standard","none","67","60","65"
"female","group D","some college","standard","none","59","67","61"
"female","group C","associate's degree","standard","none","60","78","73"
"female","group A","some college","free/reduced","none","43","45","45"
"female","group E","associate's degree","standard","none","68","70","66"
"female","group C","associate's degree","standard","completed","67","80","80"
"female","group E","some high school","standard","completed","73","77","83"
"male","group E","some college","standard","completed","73","64","68"
"male","group D","some college","standard","none","69","53","56"
"female","group B","master's degree","free/reduced","none","53","69","65"
"female","group A","some high school","free/reduced","completed","79","92","94"
"male","group C","some college","free/reduced","none","61","56","47"
"female","group E","associate's degree","standard","none","64","67","67"
"male","group C","high school","free/reduced","none","65","59","56"
"male","group D","high school","standard","none","92","91","84"
"female","group C","associate's degree","standard","completed","47","59","62"
"female","group A","bachelor's degree","free/reduced","completed","54","66","76"
"male","group D","bachelor's degree","standard","completed","83","80","81"
"female","group A","high school","free/reduced","completed","51","75","75"
"male","group C","high school","free/reduced","none","61","61","58"
"female","group C","some college","standard","completed","88","95","99"
"female","group B","master's degree","free/reduced","none","56","55","55"
"male","group D","high school","free/reduced","none","50","54","48"
"female","group A","some college","standard","none","89","97","91"
"female","group E","bachelor's degree","standard","completed","100","100","100"
"female","group D","some high school","standard","none","59","63","66"
"female","group C","high school","standard","none","42","42","42"
"male","group B","master's degree","free/reduced","completed","64","67","66"
"female","group A","some college","standard","none","73","82","79"
"male","group D","master's degree","free/reduced","none","84","87","85"
"male","group B","master's degree","standard","none","70","61","60"
"female","group B","bachelor's degree","free/reduced","none","60","70","74"
